Node_ID,Users,Traffic_Load_Mbps,CQI,SNR_dB,Latency_Req_ms,Available_Channels,Power_mW,Edge_CPU%,Action_Channel,Action_Power,Action_Routing,Offloading,Throughput_Mbps,Latency_ms,Energy_mJ,Reward_Score
189,28,98.73,10,17.23,50,2,296,80,Ch9,75,Path_B,1,11.52,37.58,273.08,-0.012
190,19,18.54,3,23.54,10,7,297,23,Ch7,174,Path_C,1,11.57,44.08,244.97,-0.031
191,36,52.39,9,17.31,10,8,176,91,Ch3,267,Path_D,1,10.73,43.38,193.16,-0.029
192,36,63.72,3,17.08,50,7,267,94,Ch3,287,Path_B,0,3.19,58.16,260.69,-0.289
193,28,71.73,15,25.96,5,7,136,36,Ch4,139,Path_B,1,19.74,29.22,129.63,0.26
194,45,58.17,6,14.04,30,5,131,76,Ch7,171,Path_A,0,1.0,55.73,150.37,-0.288
195,16,5.93,1,26.49,10,2,111,67,Ch7,59,Path_C,0,11.12,55.82,110.51,-0.05
196,43,36.01,12,15.17,50,6,80,63,Ch2,66,Path_D,1,9.58,39.9,101.89,-0.007
197,6,54.18,6,13.21,20,4,293,64,Ch5,294,Path_A,0,11.24,41.57,266.68,-0.034
198,7,13.35,4,16.35,10,2,91,99,Ch7,255,Path_A,1,12.11,41.28,124.48,0.035
199,41,38.31,8,24.06,30,9,61,52,Ch7,51,Path_D,0,8.68,49.47,70.66,-0.061
200,21,8.15,13,8.15,5,7,114,50,Ch6,161,Path_C,0,9.21,35.87,112.42,-0.0
201,6,12.46,11,9.91,10,6,283,66,Ch10,254,Path_D,0,16.35,35.95,261.84,0.107
202,6,42.71,9,28.79,10,5,122,25,Ch10,76,Path_A,0,20.09,35.89,122.02,0.239
203,32,17.61,4,9.39,50,3,180,91,Ch8,250,Path_A,1,1.9,46.43,194.52,-0.24
204,27,58.92,10,19.19,20,4,164,90,Ch3,120,Path_B,0,12.06,43.13,182.53,0.006
205,41,70.5,12,19.48,20,3,267,53,Ch1,225,Path_D,1,9.5,39.27,239.14,-0.053
206,36,81.06,10,17.24,5,8,186,72,Ch3,251,Path_D,0,12.67,46.32,181.8,0.005
207,37,24.01,6,21.12,30,3,155,33,Ch2,297,Path_D,1,6.9,49.91,136.6,-0.125
208,5,20.91,1,10.75,5,7,228,35,Ch2,167,Path_A,1,2.92,45.16,197.46,-0.213
209,23,14.93,4,18.82,10,7,65,62,Ch2,58,Path_C,0,7.11,51.8,72.74,-0.107
210,6,65.46,7,14.3,10,7,265,92,Ch5,135,Path_A,0,7.55,39.84,254.38,-0.104
211,48,72.12,12,21.54,20,7,291,93,Ch1,72,Path_B,1,9.47,42.55,276.5,-0.082
212,30,8.0,15,8.53,30,2,127,31,Ch10,248,Path_A,0,8.33,35.71,116.22,-0.02
213,36,93.94,1,19.27,50,3,174,89,Ch4,289,Path_A,0,4.47,59.41,184.36,-0.24
214,10,9.94,8,9.63,30,9,180,38,Ch10,122,Path_A,0,7.87,40.84,164.81,-0.071
215,36,56.42,12,11.97,10,3,275,60,Ch5,76,Path_B,0,10.16,44.35,249.93,-0.065
216,8,72.36,10,10.47,50,2,274,72,Ch2,265,Path_D,0,14.43,35.44,252.29,0.07
217,15,87.74,12,9.57,30,9,291,48,Ch5,142,Path_C,0,12.95,33.08,246.98,0.05
218,21,72.84,11,25.64,30,9,201,89,Ch10,130,Path_C,0,16.99,39.48,202.42,0.126
219,42,81.16,6,12.14,50,4,250,78,Ch4,133,Path_B,0,2.75,54.3,234.14,-0.271
220,28,37.25,5,28.18,10,9,190,83,Ch8,248,Path_D,0,9.44,51.13,195.83,-0.095
221,9,82.41,10,29.25,30,3,179,43,Ch1,92,Path_D,1,20.56,34.55,169.25,0.239
222,38,12.61,11,19.28,50,7,248,35,Ch5,281,Path_B,0,9.12,45.56,220.59,-0.084
223,10,90.01,15,8.58,10,7,161,71,Ch10,56,Path_A,0,15.68,29.65,168.08,0.154
224,26,57.02,14,14.36,50,8,176,99,Ch1,141,Path_D,0,18.33,33.31,189.63,0.188
225,15,82.64,9,24.94,50,4,70,25,Ch10,132,Path_C,0,17.67,40.64,65.89,0.182
226,20,47.97,2,14.18,30,3,196,56,Ch10,240,Path_B,0,1.0,54.54,181.06,-0.293
227,37,66.14,5,7.18,10,3,138,23,Ch4,133,Path_C,1,1.0,48.01,114.36,-0.24
228,13,55.01,6,18.92,30,5,96,57,Ch8,93,Path_A,1,11.9,39.94,110.26,0.042
229,10,74.5,7,26.13,5,1,199,60,Ch1,216,Path_B,0,16.84,43.13,188.33,0.11
230,20,12.75,5,24.9,5,3,252,33,Ch2,89,Path_C,1,10.99,41.98,211.87,-0.023
231,33,10.73,9,9.38,10,6,210,90,Ch1,184,Path_C,0,5.78,47.33,208.87,-0.163
232,7,28.47,1,21.82,50,3,209,70,Ch7,247,Path_A,0,7.82,53.06,197.87,-0.14
233,24,20.16,7,10.51,30,5,241,84,Ch2,74,Path_B,1,4.17,41.44,235.02,-0.18
234,40,87.82,10,10.46,30,9,134,71,Ch1,282,Path_D,1,6.52,40.31,148.04,-0.093
235,23,25.83,7,26.85,10,2,216,49,Ch6,108,Path_D,1,12.39,41.3,195.56,0.017
236,30,97.71,4,11.24,10,2,177,76,Ch6,190,Path_C,1,3.9,44.66,168.34,-0.179
237,7,37.01,9,11.58,5,6,261,98,Ch10,152,Path_A,1,8.85,34.11,256.85,-0.049
238,23,22.3,14,5.02,20,6,121,49,Ch2,281,Path_C,0,12.64,36.58,120.52,0.07
239,24,80.02,12,26.77,10,8,91,61,Ch1,135,Path_A,0,16.64,41.71,102.18,0.142
240,36,67.58,11,24.81,20,2,278,30,Ch10,290,Path_D,0,13.56,44.01,234.26,0.017
241,11,52.33,5,20.68,10,9,58,46,Ch3,258,Path_C,1,12.8,41.41,70.49,0.068
242,45,57.76,4,23.76,50,2,74,43,Ch10,161,Path_C,0,4.95,56.21,81.03,-0.179
243,37,73.32,13,8.8,50,1,266,58,Ch5,135,Path_A,1,7.69,36.07,241.68,-0.079
244,44,26.7,7,16.46,5,2,274,91,Ch6,147,Path_B,0,6.18,50.41,266.76,-0.188
245,43,99.65,4,13.78,5,7,51,37,Ch3,111,Path_A,1,3.41,51.61,57.15,-0.184
246,22,97.61,15,7.34,20,8,68,96,Ch9,57,Path_B,1,12.85,28.64,99.97,0.119
247,44,66.78,3,17.15,10,5,287,64,Ch5,162,Path_D,0,1.83,59.15,268.5,-0.326
248,5,23.96,9,28.02,30,6,69,31,Ch2,222,Path_C,0,19.92,37.06,73.5,0.246
249,15,69.62,11,6.0,5,1,283,68,Ch10,195,Path_C,0,13.5,38.13,264.53,0.033
250,32,11.86,8,12.29,30,6,282,50,Ch6,265,Path_A,0,8.04,47.1,256.73,-0.128
251,29,7.91,1,10.19,30,8,283,41,Ch8,109,Path_A,1,1.0,51.7,249.53,-0.304
252,27,29.48,7,10.95,10,3,270,63,Ch6,295,Path_D,0,5.87,47.72,252.14,-0.177
253,35,48.95,9,27.71,20,1,119,83,Ch4,109,Path_D,1,13.38,42.06,128.8,0.058
254,34,87.49,8,16.7,10,4,66,96,Ch6,155,Path_B,0,7.68,49.34,101.82,-0.093
255,46,74.08,8,16.66,5,1,173,44,Ch8,51,Path_D,0,3.07,51.62,159.49,-0.226
256,39,75.56,13,24.01,30,8,138,70,Ch8,243,Path_D,0,13.78,41.68,153.79,0.061
257,11,45.42,6,8.86,10,5,279,26,Ch10,140,Path_D,0,10.65,44.03,240.84,-0.05
258,20,37.86,11,17.18,10,1,245,25,Ch2,63,Path_D,0,14.55,38.43,205.35,0.075
259,30,40.25,4,15.75,10,8,143,43,Ch8,97,Path_B,1,1.0,47.46,137.76,-0.246
260,6,98.83,8,19.92,5,9,133,38,Ch6,152,Path_D,0,17.59,42.85,126.24,0.149
261,5,8.81,3,29.99,20,2,180,28,Ch2,294,Path_B,1,18.57,40.63,160.27,0.17
